epoch,lr,train_loss,train_ce,train_velocity,train_commit,train_perplexity,val_loss,val_ce,val_velocity,val_commit,val_perplexity,epoch_sec,improved,epochs_since_improve
1,0.00019999454435186845,4.407588921197049,4.403873575198186,0.0070572998386039705,0.009334820431170308,87.59757369108401,4.286890297719877,4.282990534011632,0.007167471968249915,0.015800615185744143,110.14009925110699,295.0349016189575,True,0
2,0.00019997817800574712,4.22706264992813,4.220367781527631,0.007160155375506245,0.15573948170602708,216.10777752430408,4.1144460880593074,4.104410014740409,0.007065593520153875,0.3251651688797833,236.16249836960884,301.34289264678955,True,0
3,0.0001999509027563903,4.100887186922036,4.084835751683681,0.0071408289780253665,0.6240516217885079,365.29809637193557,4.030845661685891,4.006324993420954,0.006976540748999544,1.0516191378031692,303.40189142096534,306.3282206058502,True,0
4,0.0001999127215948364,4.016193252879304,3.978789331657546,0.007174503227148519,1.6908336475781807,409.72336454515334,3.9584100181109285,3.900555035839342,0.006875700728763661,2.7208560688854897,344.3750418049015,313.07411432266235,True,0
5,0.0001998636387080801,3.9553611415934253,3.891669198870659,0.007161228824936023,3.005566606273899,426.6200331155356,3.906432138730402,3.8247970946847576,0.006800111698956318,3.9117497450684846,367.8196632698791,301.6954584121704,True,0
6,0.00019980365947861302,3.914409572427923,3.827638436060447,0.007149141676067798,4.159828408778488,429.32614477578693,3.8757228100136536,3.7725865024409884,0.006752740358933806,4.987996695792838,379.8591714101295,297.6037685871124,True,0
7,0.00019973279048383355,3.8875793983022886,3.779798213731159,0.007120721669967419,5.211041372704815,430.0591203268472,3.8546962901337505,3.7298197844257093,0.006702326745279643,6.076267026875117,387.6064369515197,303.1205565929413,True,0
8,0.00019965103949532567,3.8702055331948517,3.74474850277622,0.0070736295136913365,6.09601120863642,430.10782321087726,3.841380338146262,3.696945905685425,0.006659674461395161,7.0552302321342575,390.3453611609054,303.3324899673462,True,0
9,0.00019955841547800645,3.8562536251235318,3.717437717434648,0.007037967352752948,6.764846446452203,430.0988891651104,3.837661867272364,3.679742297081098,0.006642711214874297,7.7299111379336,390.9216630491492,303.72962379455566,True,0
10,0.0001994549285891432,3.842559842513753,3.6956387556992567,0.006994848690666984,7.171183358539235,430.12290781194514,3.8263467305327117,3.654162158704784,0.006603744847393811,8.444135385016873,397.59543640972817,304.9787199497223,True,0
11,0.00019934059017723943,3.8285045188355755,3.674345918290027,0.00696311605559033,7.533852516830741,430.24183850474174,3.809338435734788,3.633850479779178,0.00656817062783425,8.610193076199048,395.9543833275364,302.3348488807678,True,0
12,0.00019921541278079057,3.818941358428497,3.656653141240021,0.006923776107474363,7.941316733112583,429.932212086467,3.7947659002591485,3.6177476236265,0.006524334693557187,8.687805796322758,399.49244710843857,301.93151664733887,True,0
13,0.00019907941012690865,3.8141224968743015,3.6415861080606264,0.0068871201425730316,8.454641553875687,428.1767782483782,3.7968200134904415,3.6024499364095193,0.006494543132410474,9.556140128880331,401.6718917219606,300.94215178489685,False,1
14,0.00019893259712981735,3.812761146139789,3.6297043076196274,0.006861529802879343,8.981303892352365,427.8446048885197,3.7944194649996823,3.594052595634983,0.00648204714366018,9.856292776865502,401.2279562754174,297.26418924331665,True,0
15,0.00019877498988921623,3.811085002569409,3.619184665091626,0.006832794276861377,9.424197414478698,428.42944945298234,3.783502993518359,3.578122230425273,0.006448732832548757,10.107821085681653,405.06450078258774,297.3306670188904,True,0
16,0.00019860660568851525,3.810442783228763,3.608976387745374,0.006810259806482097,9.903063591424521,428.60517212013144,3.7933126443052947,3.570247908161111,0.006418696142197268,10.992769385037358,401.67380220596107,296.895635843277,False,1
17,0.00019842746299293955,3.809489021440605,3.5998145684406353,0.006777490233675903,10.31428576986511,428.0526499562449,3.792245329242863,3.560517510322675,0.0063862153424639,11.426736243783612,405.9390814794253,310.6614692211151,False,2
18,0.00019823758144750454,3.8063484650927704,3.5922539328986947,0.0067683693589249555,10.535517591160612,426.961397740748,3.797765398678714,3.558689692249037,0.006378953408909171,11.794311170708644,404.6075188623716,316.9492962360382,False,3
19,0.00019803698187486135,3.8029073310362826,3.583803270350803,0.006741089699865476,10.786675868870375,424.2695011535248,3.7844722303625655,3.5464137416996366,0.006368996246960269,11.743699622480836,399.6087684108786,316.53437638282776,False,4
20,0.00019782568627301367,3.802874404695127,3.5778883877512695,0.006717558022642919,11.08136218708831,422.58872596938886,3.793110106089344,3.545876734877286,0.006351480974930606,12.202881277424016,397.8884988027076,316.08965015411377,False,5
21,0.00019760371781290536,3.8050338142103963,3.572656900271193,0.006705652859648569,11.451204699355287,417.1034251869499,3.7891470144872796,3.537965954166569,0.006347316738269101,12.400370127534213,394.28600363535423,315.948100566864,False,6
22,0.00019737110083587945,3.8015974090470896,3.5664285860665434,0.00669519931898912,11.591061249181822,414.621228131381,3.773435974774295,3.525841716217668,0.006314779864624143,12.221843588842104,388.5599394497806,316.03389143943787,True,0
23,0.0001971278608510088,3.7955840947953137,3.561109599354979,0.006675570199338647,11.5568358549824,410.9730275389436,3.775140886437403,3.5211287949183214,0.006301711680214495,12.543061256408691,390.9993934108786,316.0824992656708,False,1
24,0.00019687402453229879,3.7885874275650298,3.5539284034982903,0.006651345344091003,11.566667830015158,405.9016941863221,3.7664128394976055,3.513943420697565,0.006278893811475128,12.466498845244107,387.4293054031999,317.0283098220825,True,0
25,0.00019660961971576228,3.784299167913276,3.5485392685060377,0.006634752173505893,11.622126492587002,403.247476552988,3.7693375071434128,3.5109539750504166,0.006279250233727571,12.762196697600901,381.01345030902183,317.2860903739929,False,1
26,0.00019633467539636697,3.7803288661427312,3.544581625755731,0.0066290223519710895,11.621637027759057,395.5368213158149,3.7612566294735426,3.5029291257466357,0.006230964532683361,12.760601265789711,382.6951440262468,296.3834421634674,True,0
27,0.00019604922172485582,3.7727678460734233,3.537172524572967,0.006591287455914615,11.614983799395624,394.7539981247543,3.751660111832292,3.489995620022081,0.006201907395933793,12.928177493892305,379.1433055302868,303.37590646743774,True,0
28,0.00019575329000444066,3.770095709469411,3.5323222494357593,0.0065725895193671545,11.724358393000317,392.774637123207,3.7409744785256582,3.4858366561262577,0.006182798426853467,12.602320997682336,379.23471027531036,307.9568672180176,True,0
29,0.00019544691268736953,3.7640689940421614,3.525697387851678,0.006559071395630864,11.754603736586384,391.94362915336313,3.7427909178276586,3.4829388513956983,0.006155618670562359,12.838712626940584,371.8630421259632,307.50343441963196,False,1
30,0.00019513012337136777,3.7613642275720447,3.519105957506539,0.006515223931297418,11.95003328617517,390.38613594352427,3.7353966497395135,3.4756450620416093,0.006140015958744573,12.83407838377234,375.470295945259,308.41598677635193,True,0
31,0.00019480295679595377,3.7599796807611146,3.515348029214066,0.0064969427472391685,12.06915958825644,387.8958758812446,3.7446154992874354,3.472637571700632,0.006117023097045005,13.445970247869623,378.2840843723245,304.1939535140991,False,1
32,0.00019446544883862935,3.753636981566231,3.5071093554233577,0.006475251480973289,12.164500426162373,390.8301515207662,3.7214302298140853,3.4620789893685955,0.006080465758066267,12.815549706759517,383.1805624765893,305.6932444572449,True,0
33,0.0001941176365109454,3.7534254899659714,3.5031070372500976,0.006457596944339646,12.35448308888968,388.784471387987,3.738894361339203,3.4577944442017436,0.006084596358673418,13.902880537999819,381.0632457994435,308.221431016922,False,1
34,0.00019375955795444317,3.7535425416834944,3.500652374965804,0.006442226586310048,12.483452804676897,385.73600699684835,3.7257980810452813,3.453392933492791,0.006052444848448854,13.468945646939213,376.3077660129495,308.75272393226624,False,2
35,0.00019339125243647153,3.7522273750661257,3.4969897306971736,0.006405267645620027,12.601750922667517,379.0437676565988,3.724812915880386,3.4507130074174435,0.006028080250659626,13.55429427264488,370.33227330037994,309.34195470809937,False,3
36,0.00019301276034588098,3.7498260028176493,3.4933133758120722,0.006404755103731431,12.665512760738274,383.4707028772924,3.7124898825606256,3.4443996867088424,0.006010649764068322,13.25424530081553,375.4089735893354,308.2882091999054,True,0
37,0.00019262412318859446,3.7462714119003966,3.4903345853090286,0.006391777584023846,12.637047106569463,386.05891554696217,3.719094345014389,3.446678932398966,0.0060194171709965355,13.47028529807313,380.9671802259471,308.17686319351196,False,1
38,0.00019222538358305578,3.7410146895941203,3.486673341943072,0.006368521547289686,12.55785451771377,390.46975120940766,3.7183236455264157,3.4394760458436733,0.005991498946071896,13.792593132959654,383.9071931185788,308.8432312011719,False,2
39,0.0001918165852555561,3.7350699086854986,3.483654652323042,0.006355017476923788,12.411887491678263,385.90361186436246,3.7130302011150205,3.4386721506510693,0.005966658349952673,13.568735958778696,376.46379779136345,305.1267800331116,False,3
40,0.00019139777303543877,3.735187650887997,3.4822797715276868,0.006347989841506442,12.486694156349479,382.37948950234943,3.706714741171223,3.4373725342423946,0.005969489819357452,13.31787441201406,377.0546030540989,304.42794370651245,True,0
41,0.00019096899285018333,3.7323183972727167,3.480118906343138,0.006318739104362858,12.452006353186322,384.69865922804,3.703383978099039,3.431794336397354,0.005969817431209838,13.430237064622853,380.4512935272635,305.3254086971283,True,0
42,0.00019053029172036895,3.7303969258224807,3.477646146308292,0.006304811292052777,12.47991889250743,385.7440561567034,3.694204173675955,3.430818645921472,0.005944376224524354,13.020667951400966,375.39745424871575,298.13076090812683,True,0
43,0.00019008171775451827,3.7280335054769145,3.4768370562172555,0.006314276880131091,12.401965568592022,388.2101459503174,3.7072243657830644,3.4321677260202903,0.005951218099703323,13.604052047206931,379.0237234455265,297.29634284973145,False,1
44,0.0001896233201438216,3.7285346102404904,3.4769495344394215,0.006314367464480487,12.421395057981664,385.12130826479427,3.700085355810923,3.430183845023586,0.0059463967320394434,13.346415767930958,378.680284473994,298.2662887573242,False,2
45,0.0001891551491567426,3.7245775900490874,3.474363531385149,0.006309123122051672,12.352975166463233,386.4221031387131,3.7053643448712075,3.4265707780237067,0.0059342454953042615,13.791323269883247,384.7356170236248,294.70869064331055,False,3
46,0.00018867725613350587,3.7267372942977137,3.4758007371580444,0.006322318471835128,12.38876998037487,382.4992586111093,3.699682598244654,3.430547341908494,0.005957458088531682,13.307825088500977,369.95135874290986,306.897216796875,False,4
47,0.00018818969348046672,3.7272289345016727,3.4744963705926746,0.006303634838497435,12.479037430379298,379.2454942975725,3.6933414838085437,3.427519592520309,0.005935495693797935,13.142707471978175,373.2825961178296,299.4192383289337,True,0
48,0.00018769251466436442,3.727972926063971,3.476045657481466,0.00630122448647298,12.43883298279403,383.46269813141265,3.7044841981913947,3.4313385421282625,0.00595274875068093,13.508463049588139,379.819390701921,302.1662893295288,False,1
49,0.00018718577420645888,3.730175541592883,3.47537760572,0.006309416393035805,12.582161483826575,382.38558972346317,3.709902740504644,3.42532177167396,0.005928999218094634,14.080823323498034,380.5352703773812,300.05116415023804,False,2
50,0.00018666952767655166,3.730696130495567,3.4746875271394657,0.006302847930263462,12.642859309524685,383.05681317812434,3.7110398664866406,3.428286990074262,0.005923251860634717,13.989563941955566,385.21435379655395,300.5252676010132,False,3
51,0.00018614383168689242,3.731556468002208,3.474304182769416,0.0062932306065302725,12.705283935967978,380.76099296668906,3.6989776924864888,3.426670701536414,0.005920329096101939,13.467341867211747,380.9274860538848,300.0628430843353,False,4
52,0.00018560874388597043,3.729454548134432,3.4731239376517085,0.006289575832545176,12.65929119850134,383.8009833051013,3.708964573193903,3.425519730946789,0.005924036764629083,14.024141951783063,382.1288602646083,301.5356080532074,False,5
53,0.00018506432295219299,3.732300749459824,3.47394499047236,0.006285678939258849,12.760646060689703,384.4342855973677,3.72377112466995,3.430151534407106,0.0059502916633827636,14.532221859448576,381.5504865254441,298.80471563339233,False,6
54,0.00018451062858745052,3.735670385809688,3.47490039022712,0.006302385776932653,12.88094030881857,382.07053598180994,3.7099312854139774,3.4281179382376474,0.005970298035121332,13.941409581328092,373.93662753170486,300.0409572124481,False,7
55,0.00018394772151056972,3.743574763273264,3.476764985493251,0.006302781418183601,13.182919739128707,385.6851832649925,3.7164839881740206,3.4295241244851726,0.005955862334278757,14.199097202248769,383.47166547383347,294.64738416671753,False,8
56,0.00018337566345065493,3.7474468038840727,3.4766417072190867,0.006292462218915681,13.382943464564038,378.34054156712125,3.7317522682555735,3.4343579272701317,0.005973519365086335,14.720378758156137,381.95482813168877,298.51421213150024,False,9
